,sex,Cell type,Proportion
1016,female,CD8+ T cell,
1017,female,CD8+ T cell,
1018,male,CD8+ T cell,0.1867179980750722
1019,male,CD8+ T cell,
1020,female,CD8+ T cell,
1021,female,CD8+ T cell,
1022,male,CD8+ T cell,
1023,male,CD8+ T cell,
1024,female,CD8+ T cell,
1025,female,CD8+ T cell,
1026,male,CD8+ T cell,
1027,male,CD8+ T cell,
1028,female,CD8+ T cell,
1029,female,CD8+ T cell,
1030,male,CD8+ T cell,
1031,male,CD8+ T cell,
1032,female,CD8+ T cell,
1033,female,CD8+ T cell,
1034,male,CD8+ T cell,
1035,male,CD8+ T cell,
1036,female,CD8+ T cell,
1037,female,CD8+ T cell,
1038,male,CD8+ T cell,
1039,male,CD8+ T cell,
1040,female,CD8+ T cell,
1041,female,CD8+ T cell,
1042,male,CD8+ T cell,0.19637012793811365
1043,male,CD8+ T cell,0.13603603603603603
1044,female,CD8+ T cell,
1045,female,CD8+ T cell,
1046,male,CD8+ T cell,
1047,male,CD8+ T cell,
1048,female,CD8+ T cell,
1049,female,CD8+ T cell,
1050,male,CD8+ T cell,
1051,male,CD8+ T cell,
1052,female,CD8+ T cell,
1053,female,CD8+ T cell,0.08826513358133244
1054,male,CD8+ T cell,
1055,male,CD8+ T cell,
1056,female,CD8+ T cell,
1057,female,CD8+ T cell,0.38283828382838286
1058,male,CD8+ T cell,
1059,male,CD8+ T cell,
1060,female,CD8+ T cell,
1061,female,CD8+ T cell,
1062,male,CD8+ T cell,
1063,male,CD8+ T cell,
1064,female,CD8+ T cell,
1065,female,CD8+ T cell,
1066,male,CD8+ T cell,
1067,male,CD8+ T cell,
1068,female,CD8+ T cell,
1069,female,CD8+ T cell,0.2744043043812452
1070,male,CD8+ T cell,
1071,male,CD8+ T cell,
1072,female,CD8+ T cell,
1073,female,CD8+ T cell,
1074,male,CD8+ T cell,
1075,male,CD8+ T cell,
1076,female,CD8+ T cell,
1077,female,CD8+ T cell,
1078,male,CD8+ T cell,
1079,male,CD8+ T cell,
1080,female,CD8+ T cell,
1081,female,CD8+ T cell,
1082,male,CD8+ T cell,
1083,male,CD8+ T cell,
1084,female,CD8+ T cell,
1085,female,CD8+ T cell,
1086,male,CD8+ T cell,
1087,male,CD8+ T cell,
1088,female,CD8+ T cell,
1089,female,CD8+ T cell,
1090,male,CD8+ T cell,
1091,male,CD8+ T cell,
1092,female,CD8+ T cell,
1093,female,CD8+ T cell,
1094,male,CD8+ T cell,
1095,male,CD8+ T cell,
1096,female,CD8+ T cell,
1097,female,CD8+ T cell,
1098,male,CD8+ T cell,
1099,male,CD8+ T cell,
1100,female,CD8+ T cell,
1101,female,CD8+ T cell,
1102,male,CD8+ T cell,
1103,male,CD8+ T cell,
1104,female,CD8+ T cell,0.18530020703933747
1105,female,CD8+ T cell,
1106,male,CD8+ T cell,
1107,male,CD8+ T cell,
1108,female,CD8+ T cell,
1109,female,CD8+ T cell,
1110,male,CD8+ T cell,
1111,male,CD8+ T cell,
1112,female,CD8+ T cell,0.293343653250774
1113,female,CD8+ T cell,
1114,male,CD8+ T cell,
1115,male,CD8+ T cell,
1116,female,CD8+ T cell,
1117,female,CD8+ T cell,
1118,male,CD8+ T cell,0.3206761391474767
1119,male,CD8+ T cell,0.34428418803418803
1120,female,CD8+ T cell,0.15758044896605108
1121,female,CD8+ T cell,0.1758726762070349
1122,male,CD8+ T cell,
1123,male,CD8+ T cell,
1124,female,CD8+ T cell,
1125,female,CD8+ T cell,
1126,male,CD8+ T cell,
1127,male,CD8+ T cell,
1128,female,CD8+ T cell,
1129,female,CD8+ T cell,
1130,male,CD8+ T cell,
1131,male,CD8+ T cell,
1132,female,CD8+ T cell,0.05916473317865429
1133,female,CD8+ T cell,0.2222222222222222
1134,male,CD8+ T cell,
1135,male,CD8+ T cell,
1136,female,CD8+ T cell,0.2568077084206116
1137,female,CD8+ T cell,0.2380174291938998
1138,male,CD8+ T cell,
1139,male,CD8+ T cell,
1140,female,CD8+ T cell,0.2452153110047847
1141,female,CD8+ T cell,0.15876288659793814
1142,male,CD8+ T cell,
1143,male,CD8+ T cell,
1144,female,CD8+ T cell,
1145,female,CD8+ T cell,
1146,male,CD8+ T cell,0.10024096385542168
1147,male,CD8+ T cell,0.2776534924185931
1148,female,CD8+ T cell,0.09000552181115405
1149,female,CD8+ T cell,0.12617127914578338
1150,male,CD8+ T cell,
1151,male,CD8+ T cell,
1152,female,CD8+ T cell,
1153,female,CD8+ T cell,
1154,male,CD8+ T cell,0.2663921444409249
1155,male,CD8+ T cell,0.26012058570198104
1156,female,CD8+ T cell,0.1569482288828338
1157,female,CD8+ T cell,0.26154549611339734
1158,male,CD8+ T cell,
1159,male,CD8+ T cell,
1160,female,CD8+ T cell,0.376092275428172
1161,female,CD8+ T cell,0.2067994802944998
1162,male,CD8+ T cell,
1163,male,CD8+ T cell,
1164,female,CD8+ T cell,
1165,female,CD8+ T cell,
1166,male,CD8+ T cell,0.34676742233417296
1167,male,CD8+ T cell,0.337000366703337
1168,female,CD8+ T cell,0.24824355971896955
1169,female,CD8+ T cell,0.1225296442687747
1170,male,CD8+ T cell,
1171,male,CD8+ T cell,
1172,female,CD8+ T cell,0.43211009174311926
1173,female,CD8+ T cell,0.10251450676982592
1174,male,CD8+ T cell,
1175,male,CD8+ T cell,
1176,female,CD8+ T cell,
1177,female,CD8+ T cell,
1178,male,CD8+ T cell,0.2194767441860465
1179,male,CD8+ T cell,0.28190411883862254
1180,female,neutrophil,
1181,female,neutrophil,
1182,male,neutrophil,
1183,male,neutrophil,
1184,female,neutrophil,
1185,female,neutrophil,
1186,male,neutrophil,
1187,male,neutrophil,
1188,female,neutrophil,
1189,female,neutrophil,
1190,male,neutrophil,
1191,male,neutrophil,
1192,female,neutrophil,
1193,female,neutrophil,
1194,male,neutrophil,
1195,male,neutrophil,
1196,female,neutrophil,
1197,female,neutrophil,
1198,male,neutrophil,
1199,male,neutrophil,
1200,female,neutrophil,
1201,female,neutrophil,
1202,male,neutrophil,
1203,male,neutrophil,
1204,female,neutrophil,
1205,female,neutrophil,
1206,male,neutrophil,
1207,male,neutrophil,
1208,female,neutrophil,
1209,female,neutrophil,
1210,male,neutrophil,
1211,male,neutrophil,
1212,female,neutrophil,
1213,female,neutrophil,
1214,male,neutrophil,
1215,male,neutrophil,
1216,female,neutrophil,
1217,female,neutrophil,
1218,male,neutrophil,
1219,male,neutrophil,
1220,female,neutrophil,
1221,female,neutrophil,
1222,male,neutrophil,
1223,male,neutrophil,
1224,female,neutrophil,
1225,female,neutrophil,
1226,male,neutrophil,
1227,male,neutrophil,
1228,female,neutrophil,
1229,female,neutrophil,
1230,male,neutrophil,
1231,male,neutrophil,
1232,female,neutrophil,
1233,female,neutrophil,
1234,male,neutrophil,
1235,male,neutrophil,
1236,female,neutrophil,
1237,female,neutrophil,
1238,male,neutrophil,
1239,male,neutrophil,
1240,female,neutrophil,
1241,female,neutrophil,
1242,male,neutrophil,
1243,male,neutrophil,
1244,female,neutrophil,
1245,female,neutrophil,
1246,male,neutrophil,
1247,male,neutrophil,
1248,female,neutrophil,
1249,female,neutrophil,
1250,male,neutrophil,
1251,male,neutrophil,
1252,female,neutrophil,
1253,female,neutrophil,
1254,male,neutrophil,0.00048123195380173246
1255,male,neutrophil,
1256,female,neutrophil,
1257,female,neutrophil,
1258,male,neutrophil,
1259,male,neutrophil,
1260,female,neutrophil,
1261,female,neutrophil,
1262,male,neutrophil,
1263,male,neutrophil,
1264,female,neutrophil,
1265,female,neutrophil,
1266,male,neutrophil,
1267,male,neutrophil,
1268,female,neutrophil,
1269,female,neutrophil,
1270,male,neutrophil,
1271,male,neutrophil,
1272,female,neutrophil,
1273,female,neutrophil,
1274,male,neutrophil,
1275,male,neutrophil,
1276,female,neutrophil,
1277,female,neutrophil,
1278,male,neutrophil,0.0002975304968759298
1279,male,neutrophil,0.0009009009009009009
1280,female,neutrophil,
1281,female,neutrophil,
1282,male,neutrophil,
1283,male,neutrophil,
1284,female,neutrophil,
1285,female,neutrophil,
1286,male,neutrophil,
1287,male,neutrophil,
1288,female,neutrophil,
1289,female,neutrophil,0.00033818058843422386
1290,male,neutrophil,
1291,male,neutrophil,
1292,female,neutrophil,
1293,female,neutrophil,0.0016501650165016502
1294,male,neutrophil,
1295,male,neutrophil,
1296,female,neutrophil,
1297,female,neutrophil,
1298,male,neutrophil,
1299,male,neutrophil,
1300,female,neutrophil,
1301,female,neutrophil,
1302,male,neutrophil,
1303,male,neutrophil,
1304,female,neutrophil,
1305,female,neutrophil,0.0007686395080707148
1306,male,neutrophil,
1307,male,neutrophil,
1308,female,neutrophil,
1309,female,neutrophil,
1310,male,neutrophil,
1311,male,neutrophil,
1312,female,neutrophil,
1313,female,neutrophil,
1314,male,neutrophil,
1315,male,neutrophil,
1316,female,neutrophil,
1317,female,neutrophil,
1318,male,neutrophil,
1319,male,neutrophil,
1320,female,neutrophil,
1321,female,neutrophil,
1322,male,neutrophil,
1323,male,neutrophil,
1324,female,neutrophil,
1325,female,neutrophil,
1326,male,neutrophil,
1327,male,neutrophil,
1328,female,neutrophil,
1329,female,neutrophil,
1330,male,neutrophil,
1331,male,neutrophil,
1332,female,neutrophil,
1333,female,neutrophil,
1334,male,neutrophil,
1335,male,neutrophil,
1336,female,neutrophil,
1337,female,neutrophil,
1338,male,neutrophil,
1339,male,neutrophil,
1340,female,neutrophil,0.00020703933747412008
1341,female,neutrophil,
1342,male,neutrophil,
1343,male,neutrophil,
1344,female,neutrophil,
1345,female,neutrophil,
1346,male,neutrophil,
1347,male,neutrophil,
1348,female,neutrophil,0.0001934984520123839
1349,female,neutrophil,
1350,male,neutrophil,
1351,male,neutrophil,
1352,female,neutrophil,
1353,female,neutrophil,
1354,male,neutrophil,0.0002449779519843214
1355,male,neutrophil,0.0010683760683760685
1356,female,neutrophil,0.00044233108481698554
1357,female,neutrophil,0.0005349739200213989
1358,male,neutrophil,
1359,male,neutrophil,
1360,female,neutrophil,
1361,female,neutrophil,
1362,male,neutrophil,
1363,male,neutrophil,
1364,female,neutrophil,
1365,female,neutrophil,
1366,male,neutrophil,
1367,male,neutrophil,
1368,female,neutrophil,0.03480278422273782
1369,female,neutrophil,0.0013386880856760374
1370,male,neutrophil,
1371,male,neutrophil,
1372,female,neutrophil,0.01466275659824047
1373,female,neutrophil,0.008169934640522876
1374,male,neutrophil,
1375,male,neutrophil,
1376,female,neutrophil,0.17703349282296652
1377,female,neutrophil,0.09123711340206185
1378,male,neutrophil,
1379,male,neutrophil,
1380,female,neutrophil,
1381,female,neutrophil,
1382,male,neutrophil,0.34072289156626506
1383,male,neutrophil,0.13149391001739996
1384,female,neutrophil,0.18166758696852567
1385,female,neutrophil,0.049030289823490954
1386,male,neutrophil,
1387,male,neutrophil,
1388,female,neutrophil,
1389,female,neutrophil,
1390,male,neutrophil,0.04592968007602154
1391,male,neutrophil,0.017226528854435832
1392,female,neutrophil,0.0888283378746594
1393,female,neutrophil,0.08436213991769548
1394,male,neutrophil,
1395,male,neutrophil,
1396,female,neutrophil,0.19748339741349177
1397,female,neutrophil,0.04374187960155912
1398,male,neutrophil,
1399,male,neutrophil,
1400,female,neutrophil,
1401,female,neutrophil,
1402,male,neutrophil,0.14483627204030228
1403,male,neutrophil,0.03777044371103777
1404,female,neutrophil,0.11241217798594848
1405,female,neutrophil,0.03557312252964427
1406,male,neutrophil,
1407,male,neutrophil,
1408,female,neutrophil,0.1981651376146789
1409,female,neutrophil,0.0425531914893617
1410,male,neutrophil,
1411,male,neutrophil,
1412,female,neutrophil,
1413,female,neutrophil,
1414,male,neutrophil,0.16424418604651161
1415,male,neutrophil,0.056043214044564485
1416,female,regulatory T cell,
1417,female,regulatory T cell,
1418,male,regulatory T cell,
1419,male,regulatory T cell,
1420,female,regulatory T cell,
1421,female,regulatory T cell,
1422,male,regulatory T cell,
1423,male,regulatory T cell,
1424,female,regulatory T cell,
1425,female,regulatory T cell,
1426,male,regulatory T cell,
1427,male,regulatory T cell,
1428,female,regulatory T cell,
1429,female,regulatory T cell,
1430,male,regulatory T cell,
1431,male,regulatory T cell,
1432,female,regulatory T cell,
1433,female,regulatory T cell,
1434,male,regulatory T cell,
1435,male,regulatory T cell,
1436,female,regulatory T cell,
1437,female,regulatory T cell,
1438,male,regulatory T cell,
1439,male,regulatory T cell,
1440,female,regulatory T cell,
1441,female,regulatory T cell,
1442,male,regulatory T cell,
1443,male,regulatory T cell,
1444,female,regulatory T cell,
1445,female,regulatory T cell,
1446,male,regulatory T cell,
1447,male,regulatory T cell,
1448,female,regulatory T cell,
1449,female,regulatory T cell,
1450,male,regulatory T cell,
1451,male,regulatory T cell,
1452,female,regulatory T cell,
1453,female,regulatory T cell,
1454,male,regulatory T cell,
1455,male,regulatory T cell,
1456,female,regulatory T cell,
1457,female,regulatory T cell,
1458,male,regulatory T cell,
1459,male,regulatory T cell,
1460,female,regulatory T cell,
1461,female,regulatory T cell,
1462,male,regulatory T cell,
1463,male,regulatory T cell,
1464,female,regulatory T cell,
1465,female,regulatory T cell,
1466,male,regulatory T cell,
1467,male,regulatory T cell,
1468,female,regulatory T cell,
1469,female,regulatory T cell,
1470,male,regulatory T cell,
1471,male,regulatory T cell,
1472,female,regulatory T cell,
1473,female,regulatory T cell,
1474,male,regulatory T cell,
1475,male,regulatory T cell,
1476,female,regulatory T cell,
1477,female,regulatory T cell,
1478,male,regulatory T cell,
1479,male,regulatory T cell,
1480,female,regulatory T cell,
1481,female,regulatory T cell,
1482,male,regulatory T cell,
1483,male,regulatory T cell,
1484,female,regulatory T cell,
1485,female,regulatory T cell,
1486,male,regulatory T cell,
1487,male,regulatory T cell,
1488,female,regulatory T cell,
1489,female,regulatory T cell,
1490,male,regulatory T cell,0.024542829643888354
1491,male,regulatory T cell,
1492,female,regulatory T cell,
1493,female,regulatory T cell,
1494,male,regulatory T cell,
1495,male,regulatory T cell,
1496,female,regulatory T cell,
1497,female,regulatory T cell,
1498,male,regulatory T cell,
1499,male,regulatory T cell,
1500,female,regulatory T cell,
1501,female,regulatory T cell,
1502,male,regulatory T cell,
1503,male,regulatory T cell,
1504,female,regulatory T cell,
1505,female,regulatory T cell,
1506,male,regulatory T cell,
1507,male,regulatory T cell,
1508,female,regulatory T cell,
1509,female,regulatory T cell,
1510,male,regulatory T cell,
1511,male,regulatory T cell,
1512,female,regulatory T cell,
1513,female,regulatory T cell,
1514,male,regulatory T cell,0.002975304968759298
1515,male,regulatory T cell,0.05855855855855856
1516,female,regulatory T cell,
1517,female,regulatory T cell,
1518,male,regulatory T cell,
1519,male,regulatory T cell,
1520,female,regulatory T cell,
1521,female,regulatory T cell,
1522,male,regulatory T cell,
1523,male,regulatory T cell,
1524,female,regulatory T cell,
1525,female,regulatory T cell,0.01927629354075076
1526,male,regulatory T cell,
1527,male,regulatory T cell,
1528,female,regulatory T cell,
1529,female,regulatory T cell,0.09735973597359736
1530,male,regulatory T cell,
1531,male,regulatory T cell,
1532,female,regulatory T cell,
1533,female,regulatory T cell,
1534,male,regulatory T cell,
1535,male,regulatory T cell,
1536,female,regulatory T cell,
1537,female,regulatory T cell,
1538,male,regulatory T cell,
1539,male,regulatory T cell,
1540,female,regulatory T cell,
1541,female,regulatory T cell,0.07686395080707148
1542,male,regulatory T cell,
1543,male,regulatory T cell,
1544,female,regulatory T cell,
1545,female,regulatory T cell,
1546,male,regulatory T cell,
1547,male,regulatory T cell,
1548,female,regulatory T cell,
1549,female,regulatory T cell,
1550,male,regulatory T cell,
1551,male,regulatory T cell,
1552,female,regulatory T cell,
1553,female,regulatory T cell,
1554,male,regulatory T cell,
1555,male,regulatory T cell,
1556,female,regulatory T cell,
1557,female,regulatory T cell,
1558,male,regulatory T cell,
1559,male,regulatory T cell,
1560,female,regulatory T cell,
1561,female,regulatory T cell,
1562,male,regulatory T cell,
1563,male,regulatory T cell,
1564,female,regulatory T cell,
1565,female,regulatory T cell,
1566,male,regulatory T cell,
1567,male,regulatory T cell,
1568,female,regulatory T cell,
1569,female,regulatory T cell,
1570,male,regulatory T cell,
1571,male,regulatory T cell,
1572,female,regulatory T cell,
1573,female,regulatory T cell,
1574,male,regulatory T cell,
1575,male,regulatory T cell,
1576,female,regulatory T cell,0.026915113871635612
1577,female,regulatory T cell,
1578,male,regulatory T cell,
1579,male,regulatory T cell,
1580,female,regulatory T cell,
1581,female,regulatory T cell,
1582,male,regulatory T cell,
1583,male,regulatory T cell,
1584,female,regulatory T cell,0.018188854489164085
1585,female,regulatory T cell,
1586,male,regulatory T cell,
1587,male,regulatory T cell,
1588,female,regulatory T cell,
1589,female,regulatory T cell,
1590,male,regulatory T cell,0.012983831455169036
1591,male,regulatory T cell,0.04139957264957265
1592,female,regulatory T cell,0.053411478491651
1593,female,regulatory T cell,0.0744951183629798
1594,male,regulatory T cell,
1595,male,regulatory T cell,
1596,female,regulatory T cell,
1597,female,regulatory T cell,
1598,male,regulatory T cell,
1599,male,regulatory T cell,
1600,female,regulatory T cell,
1601,female,regulatory T cell,
1602,male,regulatory T cell,
1603,male,regulatory T cell,
1604,female,regulatory T cell,0.013921113689095127
1605,female,regulatory T cell,0.11780455153949129
1606,male,regulatory T cell,
1607,male,regulatory T cell,
1608,female,regulatory T cell,0.012149141181399247
1609,female,regulatory T cell,0.09967320261437909
1610,male,regulatory T cell,
1611,male,regulatory T cell,
1612,female,regulatory T cell,0.007177033492822967
1613,female,regulatory T cell,0.04639175257731959
1614,male,regulatory T cell,
1615,male,regulatory T cell,
1616,female,regulatory T cell,
1617,female,regulatory T cell,
1618,male,regulatory T cell,0.026987951807228915
1619,male,regulatory T cell,0.15635098185433757
1620,female,regulatory T cell,0.015092950487759986
1621,female,regulatory T cell,0.12006973196774896
1622,male,regulatory T cell,
1623,male,regulatory T cell,
1624,female,regulatory T cell,
1625,female,regulatory T cell,
1626,male,regulatory T cell,0.012353500158378208
1627,male,regulatory T cell,0.050531151306345105
1628,female,regulatory T cell,0.005994550408719346
1629,female,regulatory T cell,0.08596250571559214
1630,male,regulatory T cell,
1631,male,regulatory T cell,
1632,female,regulatory T cell,0.029360363509262497
1633,female,regulatory T cell,0.07275877003031615
1634,male,regulatory T cell,
1635,male,regulatory T cell,
1636,female,regulatory T cell,
1637,female,regulatory T cell,
1638,male,regulatory T cell,0.00797649034424853
1639,male,regulatory T cell,0.10707737440410708
1640,female,regulatory T cell,0.01327088212334114
1641,female,regulatory T cell,0.045783926218708824
1642,male,regulatory T cell,
1643,male,regulatory T cell,
1644,female,regulatory T cell,0.031192660550458717
1645,female,regulatory T cell,0.06382978723404255
1646,male,regulatory T cell,
1647,male,regulatory T cell,
1648,female,regulatory T cell,
1649,female,regulatory T cell,
1650,male,regulatory T cell,0.00872093023255814
1651,male,regulatory T cell,0.04355165428764349
1652,female,malignant cell,
1653,female,malignant cell,
1654,male,malignant cell,
1655,male,malignant cell,
1656,female,malignant cell,
1657,female,malignant cell,
1658,male,malignant cell,
1659,male,malignant cell,
1660,female,malignant cell,
1661,female,malignant cell,
1662,male,malignant cell,
1663,male,malignant cell,
1664,female,malignant cell,
1665,female,malignant cell,
1666,male,malignant cell,
1667,male,malignant cell,
1668,female,malignant cell,
1669,female,malignant cell,
1670,male,malignant cell,
1671,male,malignant cell,
1672,female,malignant cell,
1673,female,malignant cell,
1674,male,malignant cell,
1675,male,malignant cell,
1676,female,malignant cell,
1677,female,malignant cell,
1678,male,malignant cell,
1679,male,malignant cell,
1680,female,malignant cell,
1681,female,malignant cell,
1682,male,malignant cell,
1683,male,malignant cell,
1684,female,malignant cell,
1685,female,malignant cell,
1686,male,malignant cell,
1687,male,malignant cell,
1688,female,malignant cell,
1689,female,malignant cell,
1690,male,malignant cell,
1691,male,malignant cell,
1692,female,malignant cell,
1693,female,malignant cell,
1694,male,malignant cell,
1695,male,malignant cell,
1696,female,malignant cell,
1697,female,malignant cell,
1698,male,malignant cell,
1699,male,malignant cell,
1700,female,malignant cell,
1701,female,malignant cell,
1702,male,malignant cell,
1703,male,malignant cell,
1704,female,malignant cell,
1705,female,malignant cell,
1706,male,malignant cell,
1707,male,malignant cell,
1708,female,malignant cell,
1709,female,malignant cell,
1710,male,malignant cell,
1711,male,malignant cell,
1712,female,malignant cell,
1713,female,malignant cell,
1714,male,malignant cell,
1715,male,malignant cell,
1716,female,malignant cell,
1717,female,malignant cell,
1718,male,malignant cell,
1719,male,malignant cell,
1720,female,malignant cell,
1721,female,malignant cell,
1722,male,malignant cell,
1723,male,malignant cell,
1724,female,malignant cell,
1725,female,malignant cell,
1726,male,malignant cell,0.03176130895091434
1727,male,malignant cell,
1728,female,malignant cell,
1729,female,malignant cell,
1730,male,malignant cell,
1731,male,malignant cell,
1732,female,malignant cell,
1733,female,malignant cell,
1734,male,malignant cell,
1735,male,malignant cell,
1736,female,malignant cell,
1737,female,malignant cell,
1738,male,malignant cell,
1739,male,malignant cell,
1740,female,malignant cell,
1741,female,malignant cell,
1742,male,malignant cell,
1743,male,malignant cell,
1744,female,malignant cell,
1745,female,malignant cell,
1746,male,malignant cell,
1747,male,malignant cell,
1748,female,malignant cell,
1749,female,malignant cell,
1750,male,malignant cell,0.0008925914906277894
1751,male,malignant cell,0.2747747747747748
1752,female,malignant cell,
1753,female,malignant cell,
1754,male,malignant cell,
1755,male,malignant cell,
1756,female,malignant cell,
1757,female,malignant cell,
1758,male,malignant cell,
1759,male,malignant cell,
1760,female,malignant cell,
1761,female,malignant cell,0.024010821778829895
1762,male,malignant cell,
1763,male,malignant cell,
1764,female,malignant cell,
1765,female,malignant cell,0.00825082508250825
1766,male,malignant cell,
1767,male,malignant cell,
1768,female,malignant cell,
1769,female,malignant cell,
1770,male,malignant cell,
1771,male,malignant cell,
1772,female,malignant cell,
1773,female,malignant cell,
1774,male,malignant cell,
1775,male,malignant cell,
1776,female,malignant cell,
1777,female,malignant cell,0.0030745580322828594
1778,male,malignant cell,
1779,male,malignant cell,
1780,female,malignant cell,
1781,female,malignant cell,
1782,male,malignant cell,
1783,male,malignant cell,
1784,female,malignant cell,
1785,female,malignant cell,
1786,male,malignant cell,
1787,male,malignant cell,
1788,female,malignant cell,
1789,female,malignant cell,
1790,male,malignant cell,
1791,male,malignant cell,
1792,female,malignant cell,
1793,female,malignant cell,
1794,male,malignant cell,
1795,male,malignant cell,
1796,female,malignant cell,
1797,female,malignant cell,
1798,male,malignant cell,
1799,male,malignant cell,
1800,female,malignant cell,
1801,female,malignant cell,
1802,male,malignant cell,
1803,male,malignant cell,
1804,female,malignant cell,
1805,female,malignant cell,
1806,male,malignant cell,
1807,male,malignant cell,
1808,female,malignant cell,
1809,female,malignant cell,
1810,male,malignant cell,
1811,male,malignant cell,
1812,female,malignant cell,0.011387163561076604
1813,female,malignant cell,
1814,male,malignant cell,
1815,male,malignant cell,
1816,female,malignant cell,
1817,female,malignant cell,
1818,male,malignant cell,
1819,male,malignant cell,
1820,female,malignant cell,0.0011609907120743034
1821,female,malignant cell,
1822,male,malignant cell,
1823,male,malignant cell,
1824,female,malignant cell,
1825,female,malignant cell,
1826,male,malignant cell,0.0017148456638902498
1827,male,malignant cell,0.008547008547008548
1828,female,malignant cell,0.002322238195289174
1829,female,malignant cell,0.042530426641701216
1830,male,malignant cell,
1831,male,malignant cell,
1832,female,malignant cell,
1833,female,malignant cell,
1834,male,malignant cell,
1835,male,malignant cell,
1836,female,malignant cell,
1837,female,malignant cell,
1838,male,malignant cell,
1839,male,malignant cell,
1840,female,malignant cell,0.000580046403712297
1841,female,malignant cell,0.09303882195448461
1842,male,malignant cell,
1843,male,malignant cell,
1844,female,malignant cell,0.0016757436112274822
1845,female,malignant cell,0.01906318082788671
1846,male,malignant cell,
1847,male,malignant cell,
1848,female,malignant cell,0.0017942583732057417
1849,female,malignant cell,0.07371134020618557
1850,male,malignant cell,
1851,male,malignant cell,
1852,female,malignant cell,
1853,female,malignant cell,
1854,male,malignant cell,0.05349397590361446
1855,male,malignant cell,0.112353964702958
1856,female,malignant cell,0.005153690410454629
1857,female,malignant cell,0.04663325343212029
1858,male,malignant cell,
1859,male,malignant cell,
1860,female,malignant cell,
1861,female,malignant cell,
1862,male,malignant cell,0.005384859043395629
1863,male,malignant cell,0.20872810795291416
1864,female,malignant cell,0.0016348773841961854
1865,female,malignant cell,0.004572473708276178
1866,male,malignant cell,
1867,male,malignant cell,
1868,female,malignant cell,0.0013981125480601187
1869,female,malignant cell,0.1249458640103941
1870,male,malignant cell,
1871,male,malignant cell,
1872,female,malignant cell,
1873,female,malignant cell,
1874,male,malignant cell,0.0054575986565911
1875,male,malignant cell,0.14814814814814814
1876,female,malignant cell,0.00117096018735363
1877,female,malignant cell,0.04710144927536232
1878,male,malignant cell,
1879,male,malignant cell,
1880,female,malignant cell,0.005504587155963303
1881,female,malignant cell,0.218568665377176
1882,male,malignant cell,
1883,male,malignant cell,
1884,female,malignant cell,
1885,female,malignant cell,
1886,male,malignant cell,0.005329457364341085
1887,male,malignant cell,0.1100607697501688
